album_name,track_number,track_name,track_id,duration,acousticness,danceability,energy,instrumentalness,key,liveness,track_loudness,track_mode,track_speechiness,track_tempo,track_time_signature,track_valence
MOTOMAMI,1,SAOKO,2FYGZDfsAnNsrm1gVbyKnG,137533,0.79,0.827,0.768,2.45e-05,0,0.497,-5.702,1,0.265,99.988,4,0.734
MOTOMAMI,2,CANDY,70AYiGbc4mWZGEqiipBBDb,193480,0.885,0.638,0.49,0.0116,4,0.156,-5.726,0,0.226,179.905,4,0.403
MOTOMAMI,3,LA FAMA (with The Weeknd),6Y46tOTRhkBamosyuWa6YX,188106,0.947,0.766,0.295,4.44e-05,0,0.119,-7.893,0,0.0464,136.016,4,0.805
MOTOMAMI,4,BULERÍAS,5tmrMIajDQRBcJQPaoAGdk,155880,0.932,0.774,0.458,0.000122,0,0.191,-6.301,1,0.303,127.33,3,0.757
MOTOMAMI,5,CHICKEN TERIYAKI,6hH6QJ9ZAO0Z6m7PfvLoXW,122226,0.454,0.788,0.4,0.000141,2,0.0686,-6.454,1,0.115,97.936,4,0.558
MOTOMAMI,6,HENTAI,4kroNlz8BTfswE4M0i3YCh,162906,0.879,0.583,0.297,0,7,0.127,-11.273,0,0.406,124.279,3,0.291
MOTOMAMI,7,BIZCOCHITO,4kXxEhuatrvwrTQycA7s9B,109120,0.605,0.93,0.774,0.0238,1,0.12,-4.203,1,0.0744,116.972,4,0.781
MOTOMAMI,8,G3 N15,2MismgPSA3HxJUEV2pEl25,252120,0.965,0.499,0.0688,0.000164,0,0.114,-16.364,1,0.0524,64.987,3,0.0998
MOTOMAMI,9,MOTOMAMI,6ygEPi8EtVkUO0Xarcgs63,61346,0.637,0.887,0.331,0.00532,2,0.0958,-7.669,1,0.465,120.022,4,0.686
MOTOMAMI,10,DIABLO,4QlMiL1BPCBzLfn1XbSkpg,165520,0.819,0.753,0.277,0.000165,0,0.0661,-8.823,1,0.351,88.019,4,0.328
MOTOMAMI,11,DELIRIO DE GRANDEZA,6lKZ5I0yW3IpUFHEKJCWlx,155480,0.874,0.647,0.239,4.96e-05,1,0.372,-10.51,1,0.0331,101.609,4,0.298
MOTOMAMI,12,CUUUUuuuuuute,3BQPPsoxlhuSIEPlNRHHZt,150600,0.113,0.558,0.487,0.00058,1,0.171,-9.01,1,0.353,138.818,4,0.161
MOTOMAMI,13,COMO UN G,7MDfNYdpdohHjmFsYK44KU,262200,0.962,0.496,0.13,8.15e-06,7,0.211,-14.396,0,0.0415,133.07,4,0.22
MOTOMAMI,14,Abcdefg,1V32pCGXZMgcmXd5MUMDL1,65960,0.95,0.717,0.164,0,7,0.315,-17.948,1,0.944,91.577,3,0.352
MOTOMAMI,15,LA COMBI VERSACE (feat. Tokischa),5gCNf9wMVrYuM2fvfgLTlF,161266,0.561,0.835,0.495,0.000206,8,0.103,-5.791,1,0.522,90.97,4,0.426
MOTOMAMI,16,SAKURA,15pRGUlhmCxtewBs42ui1N,201613,0.936,0.317,0.305,0.00289,5,0.847,-10.215,0,0.0644,86.91,4,0.137
El Mal Querer,1,MALAMENTE - Cap.1: Augurio,1B0BQaSRHxhI0AUlItY3LK,150027,0.549,0.893,0.482,0.0164,0,0.0752,-4.779,0,0.0873,97.975,4,0.53
El Mal Querer,2,QUE NO SALGA LA LUNA - Cap.2: Boda,6HpgdL4zUpuyXCzvAhgR5a,269538,0.763,0.625,0.655,0.000126,9,0.378,-5.992,0,0.112,121.075,3,0.485
El Mal Querer,3,PIENSO EN TU MIRÁ - Cap.3: Celos,5r8mGKhCDIVWb3AG4hm0l0,193767,0.0909,0.647,0.676,0.0227,8,0.0947,-6.025,1,0.0862,164.51,3,0.41
El Mal Querer,4,DE AQUÍ NO SALES - Cap.4: Disputa,0CaiddWO1F3v4nTQGgfk9A,144541,0.324,0.802,0.448,0.00981,11,0.0692,-8.213,0,0.0998,124.891,3,0.218
El Mal Querer,5,RENIEGO - Cap.5: Lamento,5meAAp6VRNKT4cR3CvKkfU,208196,0.817,0.246,0.21,4.27e-06,10,0.0945,-7.343,0,0.0369,124.37,5,0.307
El Mal Querer,6,PRESO - Cap.6: Clausura,1Yaw3jxKlBUXkfIo2FHG2M,40690,0.79,0.559,0.291,0.00308,6,0.0994,-18.795,1,0.0682,76.543,3,0.359
El Mal Querer,7,BAGDAD - Cap.7: Liturgia,1zZ7vl1amOLI4GE5oUn0YB,182657,0.737,0.707,0.36,6.97e-05,0,0.0977,-8.89,0,0.0499,80.055,4,0.358
El Mal Querer,8,DI MI NOMBRE - Cap.8: Éxtasis,2Sfl7odHUmG7qc8SbqUyzE,162376,0.885,0.794,0.534,5.18e-05,8,0.314,-6.47,0,0.131,91.871,4,0.547
El Mal Querer,9,NANA - Cap.9: Concepción,0r6AxesiTSiCyJIIOpVYrv,197207,0.935,0.345,0.0718,2.36e-05,2,0.123,-10.683,0,0.041,115.119,3,0.103
El Mal Querer,10,MALDICIÓN - Cap.10: Cordura,5IIXMynH8cxC8is6MaqdF7,175254,0.727,0.439,0.31,1.25e-06,8,0.112,-8.118,1,0.0416,103.993,3,0.372
El Mal Querer,11,A NINGÚN HOMBRE - Cap.11: Poder,0RhO0RV0YKyF05kZ4uQOHW,94223,0.942,0.555,0.149,0,0,0.135,-6.599,1,0.0413,107.785,5,0.408
Los Ángeles,1,Si Tú Supieras Compañero,0lEaqq59YmCxJNB6cb209Y,364657,0.934,0.391,0.215,0.000625,8,0.423,-10.75,1,0.0321,142.835,3,0.13
Los Ángeles,2,De Plata,6ZpYO78uVWjZ6AoxSxnAri,268511,0.817,0.516,0.223,0.00029,6,0.104,-8.47,1,0.0313,94.916,3,0.252
Los Ángeles,3,Nos Quedamos Solitos,1QzfazYi9a86Bf0h71xbH1,315046,0.977,0.309,0.315,0.00531,7,0.25,-12.039,1,0.0378,88.124,4,0.191
Los Ángeles,4,Catalina,0c7XKJjw6heRqQX7PzkUIj,214011,0.921,0.441,0.267,1.73e-05,6,0.121,-9.64,0,0.0583,77.558,1,0.324
Los Ángeles,5,Día 14 De Abril,623kdaD0Wi2L0L6GyZvXUP,366058,0.964,0.271,0.156,0.00418,7,0.0552,-11.202,1,0.0348,160.013,1,0.0914
Los Ángeles,6,Que Se Muere Que Se Muere,4qEG0SIXAnjnd8KFH4T9Eg,88545,0.978,0.539,0.153,0.00013,4,0.11,-8.697,1,0.0333,142.064,3,0.359
Los Ángeles,7,Por Mi Puerta No Lo Pasen,2gp9YVRrqL5N9MgjTwunux,279627,0.859,0.402,0.196,0,10,0.257,-8.625,0,0.036,99.605,4,0.185
Los Ángeles,8,Te Venero,5r3n7YYY1jtl8pqvZr1DAD,246298,0.969,0.465,0.175,0.00242,3,0.0749,-11.124,1,0.093,65.091,4,0.242
Los Ángeles,9,Por Castigarme Tan Fuerte,5bu6hDqiYju5JPcBUxGTjC,128117,0.817,0.426,0.436,0.00292,5,0.117,-6.779,1,0.0332,99.203,1,0.52
Los Ángeles,10,La Hija De Juan Simón,2iCuj1KMxtGU5rP2GY9VaP,249277,0.961,0.411,0.117,1.69e-05,6,0.104,-11.736,1,0.0322,100.056,3,0.295
Los Ángeles,11,El Redentor,0JRUe91TOCuUtwczlhbhsG,181481,0.739,0.257,0.367,0.000845,5,0.0948,-8.019,0,0.0307,95.224,3,0.206
Los Ángeles,12,I See A Darkness,7c6ivZorDH6A98fBNFmCjX,248740,0.945,0.486,0.15,1.01e-05,7,0.0983,-13.15,1,0.0389,111.468,4,0.125
